"","Local.time.in.Guelmim","T","P0","P","U","DD","Ff","ff10","WW","W.W.","c","VV","Td","Few clouds","Scattered clouds","Broken clouds","Overcast","cumulonimbus clouds","cumulus congestus of great vertical extent"
"50","2013-11-26 17:00:00",20,734.3,760.5,20,"Wind blowing from the south-east",4,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"51","2013-11-26 18:00:00",19,734.2,760.5,24,"Wind blowing from the east-southeast",5,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"52","2013-11-27 06:00:00",12,735,762,33,"Wind blowing from the east",6,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"53","2013-11-27 07:00:00",12,735.8,762.8,33,"Wind blowing from the east",7,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"54","2013-11-27 08:00:00",14,736,762.8,25,"Wind blowing from the east-southeast",7,NA,"","","No Significant Clouds","10.0 and more",-6,"0","0","0","0",0,0
"55","2013-11-27 09:00:00",15,736.1,762.8,27,"Wind blowing from the east-southeast",8,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"56","2013-11-27 10:00:00",17,736.9,763.5,22,"Wind blowing from the south-east",7,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"57","2013-11-27 11:00:00",18,737,763.5,19,"Wind blowing from the south-east",9,NA,"","","No Significant Clouds","10.0 and more",-6,"0","0","0","0",0,0
"58","2013-11-27 12:00:00",19,736.4,762.8,21,"Wind blowing from the south-east",8,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"59","2013-11-27 13:00:00",20,735.7,762,20,"Wind blowing from the east-southeast",7,12,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"60","2013-11-27 14:00:00",20,735,761.2,18,"Wind blowing from the east-southeast",7,12,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"61","2013-11-27 15:00:00",20,735,761.2,18,"Wind blowing from the east-southeast",6,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"62","2013-11-27 16:00:00",20,735,761.2,20,"Wind blowing from the south-southeast",6,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"63","2013-11-27 17:00:00",19,734.9,761.2,19,"Wind blowing from the east-southeast",6,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"64","2013-11-27 18:00:00",18,734.8,761.2,21,"Wind blowing from the east-southeast",5,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"65","2013-11-28 07:00:00",14,736.6,763.5,23,"Wind blowing from the east",5,NA,"","","No Significant Clouds","10.0 and more",-7,"0","0","0","0",0,0
"66","2013-11-28 08:00:00",14,737.4,764.3,23,"Wind blowing from the east",6,NA,"","","No Significant Clouds","10.0 and more",-7,"0","0","0","0",0,0
"67","2013-11-28 09:00:00",17,737.7,764.3,20,"Wind blowing from the east",7,NA,"","","No Significant Clouds","10.0 and more",-6,"0","0","0","0",0,0
"68","2013-11-28 10:00:00",19,737.9,764.3,40,"Wind blowing from the east",8,NA,"","","No Significant Clouds","10.0 and more",5,"0","0","0","0",0,0
"69","2013-11-28 11:00:00",19,737.9,764.3,19,"Wind blowing from the east-southeast",8,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"70","2013-11-28 12:00:00",21,737.3,763.5,17,"Wind blowing from the south-east",7,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"71","2013-11-28 13:00:00",22,735.9,762,16,"Wind blowing from the south-east",8,13,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"72","2013-11-28 14:00:00",23,736,762,16,"Wind blowing from the east-southeast",7,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"73","2013-11-28 15:00:00",23,735.2,761.2,17,"Wind blowing from the south-east",7,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"74","2013-11-28 16:00:00",23,735.2,761.2,17,"Wind blowing from the south-east",7,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"75","2013-11-28 17:00:00",22,735.1,761.2,20,"Wind blowing from the south-east",7,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"76","2013-11-28 18:00:00",21,735.8,762,21,"Wind blowing from the east-southeast",6,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"77","2013-11-29 06:00:00",15,736.7,763.5,29,"Wind blowing from the east",6,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"78","2013-11-29 07:00:00",15,736.7,763.5,29,"Wind blowing from the east",7,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"79","2013-11-29 08:00:00",15,737.5,764.3,31,"Wind blowing from the east",7,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"80","2013-11-29 09:00:00",19,737.9,764.3,24,"Wind blowing from the east",5,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"81","2013-11-29 10:00:00",21,738,764.3,21,"Wind blowing from the south-east",4,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"82","2013-11-29 11:00:00",22,738.1,764.3,19,"Wind blowing from the south-southeast",7,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"83","2013-11-29 12:00:00",23,737.4,763.5,16,"Wind blowing from the south-southeast",8,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"84","2013-11-29 13:00:00",24,736.9,762.8,14,"Wind blowing from the south-east",7,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"85","2013-11-29 14:00:00",24,736.1,762,15,"Wind blowing from the south-southwest",6,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"86","2013-11-29 15:00:00",24,736.1,762,16,"Wind blowing from the south",4,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"87","2013-11-29 16:00:00",23,736,762,17,"Wind blowing from the south-southeast",4,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"88","2013-11-29 17:00:00",23,736,762,16,"Wind blowing from the south-southeast",4,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"89","2013-11-29 18:00:00",21,736.6,762.8,20,"Wind blowing from the south-southeast",3,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"90","2013-11-30 06:00:00",15,736.1,762.8,36,"Wind blowing from the east",3,NA,"","","No Significant Clouds","10.0 and more",0,"0","0","0","0",0,0
"91","2013-11-30 07:00:00",16,736.2,762.8,31,"Wind blowing from the east",4,NA,"","","No Significant Clouds","10.0 and more",-1,"0","0","0","0",0,0
"92","2013-11-30 08:00:00",16,736.2,762.8,29,"Wind blowing from the east",4,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"93","2013-11-30 09:00:00",18,736.3,762.8,24,"Wind blowing from the east",3,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"94","2013-11-30 11:00:00",22,736.7,762.8,17,"Wind blowing from the west",1,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"95","2013-11-30 12:00:00",22,735.9,762,16,"Wind blowing from the west",1,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"96","2013-11-30 13:00:00",23,735.2,761.2,16,"Wind blowing from the west",2,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"97","2013-11-30 14:00:00",23,734.5,760.5,17,"Wind blowing from the west",4,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"98","2013-11-30 15:00:00",24,733.9,759.7,22,"Wind blowing from the west-northwest",4,NA,"","","No Significant Clouds","10.0 and more",1,"0","0","0","0",0,0
"99","2013-11-30 16:00:00",23,733.8,759.7,25,"Wind blowing from the north-west",4,NA,"","","No Significant Clouds","10.0 and more",2,"0","0","0","0",0,0
"100","2013-11-30 17:00:00",21,733.6,759.7,27,"Wind blowing from the north",6,NA,"","","No Significant Clouds","10.0 and more",1,"0","0","0","0",0,0
"101","2013-12-01 06:00:00",10,731.9,759,82,"Wind blowing from the south-west",3,NA,"","","No Significant Clouds","10.0 and more",7,"0","0","0","0",0,0
"102","2013-12-01 07:00:00",10,731.9,759,94,"Wind blowing from the south-southwest",1,NA,"","","Few clouds (10-30%) 300 m","6.0",9,"300","0","0","0",0,0
"103","2013-12-01 08:00:00",10,732.6,759.7,82,"Wind blowing from the east-southeast",1,NA,"","","Few clouds (10-30%) 300 m","10.0 and more",7,"300","0","0","0",0,0
"104","2013-12-01 09:00:00",14,732.3,759,82,"Wind blowing from the west",2,NA,"","","Scattered clouds (40-50%) 300 m","6.0",11,"0","300","0","0",0,0
"105","2013-12-01 10:00:00",16,732.5,759,77,"Wind blowing from the west",5,NA,"","","Few clouds (10-30%) 300 m","8.0",12,"300","0","0","0",0,0
"106","2013-12-01 11:00:00",18,731.9,758.2,64,"Wind blowing from the north-west",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",11,"480","0","0","0",0,0
"107","2013-12-01 12:00:00",19,732,758.2,52,"Wind blowing from the north-west",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"108","2013-12-01 13:00:00",19,731.5,757.7,46,"Wind blowing from the north-west",7,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",7,"480","0","0","0",0,0
"109","2013-12-01 14:00:00",19,730.7,756.9,46,"Wind blowing from the north-west",7,NA,"","","Few clouds (10-30%) 480 m, broken clouds (60-90%) 6000 m","10.0 and more",7,"480","0","6000","0",0,0
"110","2013-12-01 15:00:00",18,730.6,756.9,49,"Wind blowing from the north-west",7,NA,"","","Few clouds (10-30%) 480 m, broken clouds (60-90%) 6000 m","10.0 and more",7,"480","0","6000","0",0,0
"111","2013-12-01 16:00:00",18,730.6,756.9,46,"Wind blowing from the north",6,NA,"","","Few clouds (10-30%) 480 m, broken clouds (60-90%) 6000 m","10.0 and more",6,"480","0","6000","0",0,0
"112","2013-12-01 17:00:00",17,730.5,756.9,52,"Wind blowing from the north-northwest",5,NA,"","","Few clouds (10-30%) 480 m, broken clouds (60-90%) 6000 m","10.0 and more",7,"480","0","6000","0",0,0
"113","2013-12-01 18:00:00",15,730.4,756.9,59,"Wind blowing from the north",9,NA,"","","Few clouds (10-30%) 480 m, broken clouds (60-90%) 6000 m","10.0 and more",7,"480","0","6000","0",0,0
"114","2013-12-02 06:00:00",10,732.6,759.7,88,"Wind blowing from the east",4,NA,"","","No Significant Clouds","10.0 and more",8,"0","0","0","0",0,0
"115","2013-12-02 07:00:00",10,732.6,759.7,82,"Wind blowing from the east-southeast",4,NA,"","","No Significant Clouds","10.0 and more",7,"0","0","0","0",0,0
"116","2013-12-02 08:00:00",12,733.6,760.5,77,"Wind blowing from the south-east",4,NA,"","","No Significant Clouds","10.0 and more",8,"0","0","0","0",0,0
"117","2013-12-02 09:00:00",14,733.8,760.5,44,"Wind blowing from the east",4,NA,"","","No Significant Clouds","10.0 and more",2,"0","0","0","0",0,0
"118","2013-12-02 10:00:00",17,734,760.5,22,"Wind blowing from the south-east",6,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"119","2013-12-02 11:00:00",19,733.4,759.7,19,"Wind blowing from the east-southeast",5,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"120","2013-12-02 12:00:00",19,733.4,759.7,18,"Wind blowing from the south-east",5,NA,"","","No Significant Clouds","10.0 and more",-6,"0","0","0","0",0,0
"121","2013-12-02 13:00:00",21,733.6,759.7,17,"Wind blowing from the south",2,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"122","2013-12-02 14:00:00",21,732.9,759,16,"Wind blowing from the west-southwest",2,NA,"","","No Significant Clouds","10.0 and more",-6,"0","0","0","0",0,0
"123","2013-12-02 15:00:00",21,732.9,759,16,"Wind blowing from the south-east",2,NA,"","","No Significant Clouds","10.0 and more",-6,"0","0","0","0",0,0
"124","2013-12-02 16:00:00",21,733.6,759.7,17,"Wind blowing from the south",4,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"125","2013-12-02 17:00:00",20,733.5,759.7,18,"Wind blowing from the south-southeast",5,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"126","2013-12-02 18:00:00",20,733.5,759.7,20,"Wind blowing from the south",4,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"127","2013-12-03 06:00:00",NA,NA,NA,NA,"Wind blowing from the east-southeast",5,NA,"","","No Significant Clouds","10.0 and more",NA,"0","0","0","0",0,0
"128","2013-12-03 07:00:00",16,735.4,762,29,"Wind blowing from the south-east",9,NA,"","Rain","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"129","2013-12-03 08:00:00",17,736.9,763.5,25,"Wind blowing from the south-east",7,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"130","2013-12-03 09:00:00",16,736.8,763.5,29,"Wind blowing from the east",10,NA,"","Rain","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"131","2013-12-03 10:00:00",17,737.7,764.3,24,"Wind blowing from the east-southeast",9,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"132","2013-12-03 11:00:00",18,737.8,764.3,21,"",NA,NA,"","","No Significant Clouds","10.0 and more",-5,"0","0","0","0",0,0
"133","2013-12-03 12:00:00",18,737,763.5,22,"Wind blowing from the east-southeast",8,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"134","2013-12-03 13:00:00",19,737.1,763.5,22,"Wind blowing from the south-east",9,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"135","2013-12-03 14:00:00",19,736.4,762.8,24,"Wind blowing from the south-east",10,15,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"136","2013-12-03 15:00:00",15,736.7,763.5,48,"Wind blowing from the south-east",6,14,"","","No Significant Clouds","6.0",4,"0","0","0","0",0,0
"137","2013-12-03 16:00:00",14,736.6,763.5,63,"Wind blowing from the east-southeast",8,NA,"","","No Significant Clouds","10.0 and more",7,"0","0","0","0",0,0
"138","2013-12-03 17:00:00",14,736.6,763.5,59,"Wind blowing from the east",12,NA,"","","No Significant Clouds","10.0 and more",6,"0","0","0","0",0,0
"139","2013-12-03 18:00:00",13,736.6,763.5,67,"Wind blowing from the east",7,NA,"","","No Significant Clouds","10.0 and more",7,"0","0","0","0",0,0
"140","2013-12-04 06:00:00",14,738.1,765,44,"Wind blowing from the east",8,NA,"","","No Significant Clouds","10.0 and more",2,"0","0","0","0",0,0
"141","2013-12-04 08:00:00",15,739,765.8,39,"Wind blowing from the east",6,NA,"","","Scattered clouds (40-50%) 600 m","10.0 and more",1,"0","600","0","0",0,0
"142","2013-12-04 09:00:00",17,739.9,766.6,37,"Wind blowing from the east-southeast",7,NA,"","","Scattered clouds (40-50%) 600 m","10.0 and more",2,"0","600","0","0",0,0
"143","2013-12-04 10:00:00",18,740,766.6,32,"Wind blowing from the east-southeast",7,NA,"","","Scattered clouds (40-50%) 600 m","10.0 and more",1,"0","600","0","0",0,0
"144","2013-12-04 11:00:00",20,740.2,766.6,26,"Wind blowing from the east-southeast",7,NA,"","","Scattered clouds (40-50%) 600 m","10.0 and more",0,"0","600","0","0",0,0
"145","2013-12-04 12:00:00",21,739.5,765.8,27,"Wind blowing from the east-southeast",8,NA,"","","Scattered clouds (40-50%) 600 m","10.0 and more",1,"0","600","0","0",0,0
"146","2013-12-04 13:00:00",22,738.8,765,29,"Wind blowing from the south-east",8,NA,"","","Scattered clouds (40-50%) 600 m","10.0 and more",3,"0","600","0","0",0,0
"147","2013-12-04 14:00:00",22,738.1,764.3,27,"Wind blowing from the south-east",7,NA,"","","Scattered clouds (40-50%) 600 m","10.0 and more",2,"0","600","0","0",0,0
"148","2013-12-04 15:00:00",22,738.1,764.3,27,"Wind blowing from the south-east",7,NA,"","","Scattered clouds (40-50%) 600 m","10.0 and more",2,"0","600","0","0",0,0
"149","2013-12-04 16:00:00",22,737.4,763.5,27,"Wind blowing from the east-southeast",6,NA,"","","Broken clouds (60-90%) 600 m","10.0 and more",2,"0","0","600","0",0,0
"150","2013-12-04 17:00:00",22,738.1,764.3,29,"Wind blowing from the east-southeast",6,NA,"","","Broken clouds (60-90%) 600 m","10.0 and more",3,"0","0","600","0",0,0
"151","2013-12-04 18:00:00",21,738,764.3,29,"Wind blowing from the east-southeast",5,NA,"","","Broken clouds (60-90%) 600 m","10.0 and more",2,"0","0","600","0",0,0
"152","2013-12-05 06:00:00",17,738.4,765,34,"Wind blowing from the east",7,NA,"","","No Significant Clouds","10.0 and more",1,"0","0","0","0",0,0
"153","2013-12-05 07:00:00",16,738.3,765,34,"Wind blowing from the east",8,NA,"","","No Significant Clouds","10.0 and more",0,"0","0","0","0",0,0
"154","2013-12-05 08:00:00",17,739.1,765.8,34,"Wind blowing from the east",7,NA,"","","No Significant Clouds","10.0 and more",1,"0","0","0","0",0,0
"155","2013-12-05 09:00:00",18,739.2,765.8,30,"Wind blowing from the east",8,NA,"","","No Significant Clouds","10.0 and more",0,"0","0","0","0",0,0
"156","2013-12-05 10:00:00",21,739.5,765.8,25,"Wind blowing from the east-southeast",9,NA,"","","No Significant Clouds","10.0 and more",0,"0","0","0","0",0,0
"157","2013-12-05 11:00:00",22,739.6,765.8,23,"Wind blowing from the east-southeast",8,13,"","","No Significant Clouds","10.0 and more",0,"0","0","0","0",0,0
"158","2013-12-05 12:00:00",23,738.9,765,22,"Wind blowing from the east-southeast",8,NA,"","","No Significant Clouds","10.0 and more",0,"0","0","0","0",0,0
"159","2013-12-05 13:00:00",24,737.5,763.5,19,"Wind blowing from the south-east",8,NA,"","","No Significant Clouds","10.0 and more",-1,"0","0","0","0",0,0
"160","2013-12-05 14:00:00",24,736.9,762.8,18,"Wind blowing from the south-southeast",8,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"161","2013-12-05 15:00:00",25,736.9,762.8,17,"Wind blowing from the south-southeast",8,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"162","2013-12-05 16:00:00",24,736.9,762.8,18,"Wind blowing from the south-southeast",8,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"163","2013-12-05 17:00:00",23,736.8,762.8,17,"Wind blowing from the south-southeast",8,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"164","2013-12-05 18:00:00",22,737.4,763.5,20,"Wind blowing from the south-southeast",8,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
