,Local.time.in.Agadir...Al.Massira..airport.,T,P0,P,U,DD,Ff,ff10,WW,W.W.,c,VV,Td,Few clouds,Scattered clouds,Broken clouds,Overcast,cumulonimbus clouds,cumulus congestus of great vertical extent
62,11/25/13 13:00,22,750.4,756.9,57,Wind blowing from the south-west,2,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,13,0,0,480,0,0,0
63,11/25/13 14:00,22,749.8,756.2,57,Wind blowing from the west,3,NA,,,"Scattered clouds (40-50%) 480 m, scattered clouds (40-50%) 480 m",10.0 and more,13,0,480,0,0,0,0
64,11/25/13 15:00,21,749.7,756.2,60,Wind blowing from the west-southwest,5,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,13,0,0,480,0,0,0
65,11/25/13 16:00,21,750.4,756.9,57,Wind blowing from the west-southwest,4,NA,,,,10.0 and more,12,0,0,0,0,0,0
66,11/25/13 17:00,20,750.4,756.9,60,Wind blowing from the south-west,3,NA,,,,10.0 and more,12,0,0,0,0,0,0
67,11/25/13 18:00,18,750.4,756.9,68,variable wind direction,1,NA,,,Few clouds (10-30%) 480 m,10.0 and more,12,480,0,0,0,0,0
68,11/25/13 20:00,16,751.1,757.7,72,"Calm, no wind",0,NA,,,Few clouds (10-30%) 600 m,10.0 and more,11,600,0,0,0,0,0
69,11/25/13 21:00,14,751.6,758.2,77,"Calm, no wind",0,NA,,,,10.0 and more,10,0,0,0,0,0,0
70,11/25/13 22:00,14,752.3,759,82,Wind blowing from the east-northeast,1,NA,,,,10.0 and more,11,0,0,0,0,0,0
71,11/25/13 23:00,13,752.3,759,82,"Calm, no wind",0,NA,,,Few clouds (10-30%) 480 m,10.0 and more,10,480,0,0,0,0,0
72,11/26/13 0:00,13,752.3,759,88,Wind blowing from the east,1,NA,,,Few clouds (10-30%) 480 m,10.0 and more,11,480,0,0,0,0,0
73,11/26/13 1:00,13,752.3,759,82,Wind blowing from the north-northeast,3,NA,,,Few clouds (10-30%) 480 m,10.0 and more,10,480,0,0,0,0,0
74,11/26/13 4:00,11,753,759.7,88,"Calm, no wind",0,NA,,,,10.0 and more,9,0,0,0,0,0,0
75,11/26/13 5:00,11,753,759.7,88,"Calm, no wind",0,NA,,,,10.0 and more,9,0,0,0,0,0,0
76,11/26/13 6:00,10,752.9,759.7,88,"Calm, no wind",0,NA,,,Few clouds (10-30%) 480 m,10.0 and more,8,480,0,0,0,0,0
77,11/26/13 7:00,10,753.7,760.5,88,"Calm, no wind",0,NA,,,Few clouds (10-30%) 480 m,10.0 and more,8,480,0,0,0,0,0
78,11/26/13 8:00,10,753.7,760.5,94,"Calm, no wind",0,NA,,,Few clouds (10-30%) 480 m,10.0 and more,9,480,0,0,0,0,0
79,11/26/13 9:00,14,754.5,761.2,88,"Calm, no wind",0,NA,,,Few clouds (10-30%) 480 m,10.0 and more,12,480,0,0,0,0,0
80,11/26/13 10:00,18,755.4,762,60,"Calm, no wind",0,NA,,,,10.0 and more,10,0,0,0,0,0,0
81,11/26/13 11:00,20,754.7,761.2,40,Wind blowing from the north-east,2,NA,,,Few clouds (10-30%) 600 m,10.0 and more,6,600,0,0,0,0,0
82,11/26/13 12:00,23,754.7,761.2,29,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,4,0,0,0,0,0,0
83,11/26/13 13:00,24,754.1,760.5,27,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,4,0,0,0,0,0,0
84,11/26/13 14:00,23,753.2,759.7,41,Wind blowing from the west,6,NA,,,No Significant Clouds,10.0 and more,9,0,0,0,0,0,0
85,11/26/13 15:00,22,753.2,759.7,44,Wind blowing from the west,7,NA,,,No Significant Clouds,10.0 and more,9,0,0,0,0,0,0
86,11/26/13 16:00,21,753.2,759.7,46,Wind blowing from the west,7,NA,,,"Few clouds (10-30%) 480 m, scattered clouds (40-50%) 6000 m",10.0 and more,9,480,6000,0,0,0,0
87,11/26/13 17:00,19,753.2,759.7,60,Wind blowing from the west,7,NA,,,"Few clouds (10-30%) 480 m, scattered clouds (40-50%) 6000 m",10.0 and more,11,480,6000,0,0,0,0
88,11/26/13 18:00,17,753.1,759.7,68,Wind blowing from the south-west,4,NA,,,Few clouds (10-30%) 480 m,10.0 and more,11,480,0,0,0,0,0
89,11/26/13 19:00,17,753.9,760.5,68,Wind blowing from the south-west,3,NA,,,Few clouds (10-30%) 480 m,10.0 and more,11,480,0,0,0,0,0
90,11/26/13 20:00,17,753.9,760.5,64,Wind blowing from the south-southwest,3,NA,,,No Significant Clouds,10.0 and more,10,0,0,0,0,0,0
91,11/26/13 21:00,16,754.6,761.2,68,Wind blowing from the south,4,NA,,,No Significant Clouds,10.0 and more,10,0,0,0,0,0,0
92,11/26/13 22:00,15,754.6,761.2,72,Wind blowing from the south,3,NA,,,No Significant Clouds,10.0 and more,10,0,0,0,0,0,0
93,11/26/13 23:00,14,754.5,761.2,77,Wind blowing from the south,2,NA,,,No Significant Clouds,10.0 and more,10,0,0,0,0,0,0
94,11/27/13 0:00,12,754.5,761.2,82,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,9,0,0,0,0,0,0
95,11/27/13 1:00,12,754.5,761.2,77,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,8,0,0,0,0,0,0
96,11/27/13 2:00,11,754.5,761.2,82,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,8,0,0,0,0,0,0
97,11/27/13 3:00,10,754.4,761.2,82,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,7,0,0,0,0,0,0
98,11/27/13 4:00,10,754.4,761.2,82,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,7,0,0,0,0,0,0
99,11/27/13 5:00,10,754.4,761.2,82,Wind blowing from the east-northeast,4,NA,,,No Significant Clouds,10.0 and more,7,0,0,0,0,0,0
100,11/27/13 6:00,9,754.4,761.2,82,Wind blowing from the east-northeast,4,NA,,,No Significant Clouds,10.0 and more,6,0,0,0,0,0,0
101,11/27/13 7:00,9,755.2,762,82,Wind blowing from the east-northeast,3,NA,,,No Significant Clouds,10.0 and more,6,0,0,0,0,0,0
102,11/27/13 8:00,9,755.2,762,82,Wind blowing from the east-northeast,4,NA,,,Few clouds (10-30%) 600 m,10.0 and more,6,600,0,0,0,0,0
103,11/27/13 9:00,13,756.1,762.8,63,Wind blowing from the east-northeast,5,NA,,,Few clouds (10-30%) 600 m,10.0 and more,6,600,0,0,0,0,0
104,11/27/13 10:00,18,756.2,762.8,32,Wind blowing from the east-northeast,5,NA,,,Scattered clouds (40-50%) 600 m,10.0 and more,1,0,600,0,0,0,0
105,11/27/13 11:00,20,756.3,762.8,23,Wind blowing from the east-northeast,6,NA,,,Broken clouds (60-90%) 600 m,10.0 and more,-2,0,0,600,0,0,0
106,11/27/13 12:00,21,755.5,762,20,Wind blowing from the north-east,5,NA,,,"Few clouds (10-30%) 480 m, broken clouds (60-90%) 6000 m",10.0 and more,-3,480,0,6000,0,0,0
107,11/27/13 13:00,22,754.7,761.2,16,"Calm, no wind",0,NA,,,"Few clouds (10-30%) 480 m, broken clouds (60-90%) 6000 m",10.0 and more,-5,480,0,6000,0,0,0
108,11/27/13 14:00,23,754.7,761.2,15,Wind blowing from the south-west,2,NA,,,"Few clouds (10-30%) 480 m, broken clouds (60-90%) 6000 m",10.0 and more,-5,480,0,6000,0,0,0
109,11/27/13 15:00,23,754,760.5,14,Wind blowing from the south-southwest,2,NA,,,No Significant Clouds,10.0 and more,-6,0,0,0,0,0,0
110,11/27/13 16:00,23,754,760.5,14,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,-6,0,0,0,0,0,0
111,11/27/13 17:00,22,754,760.5,16,"Calm, no wind",0,NA,,,"Few clouds (10-30%) 480 m, broken clouds (60-90%) 6000 m",10.0 and more,-5,480,0,6000,0,0,0
112,11/27/13 18:00,19,753.9,760.5,21,"Calm, no wind",0,NA,,,Few clouds (10-30%) 480 m,10.0 and more,-4,480,0,0,0,0,0
113,11/27/13 19:00,16,754.6,761.2,34,"Calm, no wind",0,NA,,,Few clouds (10-30%) 480 m,10.0 and more,0,480,0,0,0,0,0
114,11/27/13 20:00,14,754.5,761.2,33,"Calm, no wind",0,NA,,,Few clouds (10-30%) 480 m,10.0 and more,-2,480,0,0,0,0,0
115,11/27/13 21:00,14,755.3,762,31,Wind blowing from the south-east,3,NA,,,Few clouds (10-30%) 480 m,10.0 and more,-3,480,0,0,0,0,0
116,11/27/13 22:00,12,755.3,762,35,Wind blowing from the east-southeast,2,NA,,,No Significant Clouds,10.0 and more,-3,0,0,0,0,0,0
117,11/27/13 23:00,10,755.2,762,43,Wind blowing from the north-east,2,NA,,,No Significant Clouds,10.0 and more,-2,0,0,0,0,0,0
118,11/28/13 0:00,11,756,762.8,41,Wind blowing from the east-northeast,3,NA,,,No Significant Clouds,10.0 and more,-2,0,0,0,0,0,0
119,11/28/13 1:00,11,755.3,762,41,Wind blowing from the east,3,NA,,,No Significant Clouds,10.0 and more,-2,0,0,0,0,0,0
120,11/28/13 2:00,11,755.3,762,41,Wind blowing from the east,4,NA,,,No Significant Clouds,10.0 and more,-2,0,0,0,0,0,0
121,11/28/13 3:00,11,755.3,762,41,Wind blowing from the east,4,NA,,,No Significant Clouds,10.0 and more,-2,0,0,0,0,0,0
122,11/28/13 4:00,10,755.2,762,47,Wind blowing from the east-northeast,4,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
123,11/28/13 5:00,9,755.2,762,50,Wind blowing from the east-northeast,4,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
124,11/28/13 7:00,8,756,762.8,53,Wind blowing from the east-northeast,4,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
125,11/28/13 8:00,10,756.7,763.5,47,Wind blowing from the east-northeast,4,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
126,11/28/13 9:00,14,756.8,763.5,36,Wind blowing from the east-northeast,5,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
127,11/28/13 10:00,18,756.9,763.5,28,Wind blowing from the east-northeast,6,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
128,11/28/13 11:00,22,757,763.5,17,Wind blowing from the east-northeast,6,NA,,,No Significant Clouds,10.0 and more,-4,0,0,0,0,0,0
129,11/28/13 11:10,22,757,763.5,17,Wind blowing from the east-northeast,6,NA,,,No Significant Clouds,10.0 and more,-4,0,0,0,0,0,0
130,11/28/13 12:00,24,756.3,762.8,16,Wind blowing from the east-northeast,5,NA,,,No Significant Clouds,10.0 and more,-3,0,0,0,0,0,0
131,11/28/13 13:00,25,755.6,762,15,Wind blowing from the east-northeast,3,NA,,,No Significant Clouds,10.0 and more,-3,0,0,0,0,0,0
132,11/28/13 14:00,26,754.8,761.2,16,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,-2,0,0,0,0,0,0
133,11/28/13 15:00,26,754.1,760.5,17,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
134,11/28/13 16:00,25,754.1,760.5,18,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
135,11/28/13 17:00,25,754.1,760.5,19,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,0,0,0,0,0,0,0
136,11/28/13 18:00,22,754,760.5,25,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,1,0,0,0,0,0,0
137,11/28/13 19:00,21,754.7,761.2,27,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,1,0,0,0,0,0,0
138,11/28/13 20:00,20,754.7,761.2,28,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,1,0,0,0,0,0,0
139,11/28/13 21:00,19,754.6,761.2,30,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,1,0,0,0,0,0,0
140,11/28/13 22:00,19,755.4,762,30,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,1,0,0,0,0,0,0
141,11/28/13 23:00,15,755.3,762,39,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,1,0,0,0,0,0,0
142,11/29/13 0:00,17,755.4,762,39,Wind blowing from the east-northeast,3,NA,,,No Significant Clouds,10.0 and more,3,0,0,0,0,0,0
143,11/29/13 1:00,17,754.6,761.2,34,Wind blowing from the east-northeast,4,NA,,,No Significant Clouds,10.0 and more,1,0,0,0,0,0,0
144,11/29/13 2:00,16,754.6,761.2,39,Wind blowing from the east-northeast,4,NA,,,No Significant Clouds,10.0 and more,2,0,0,0,0,0,0
145,11/29/13 3:00,17,754.6,761.2,37,Wind blowing from the east-southeast,3,NA,,,No Significant Clouds,10.0 and more,2,0,0,0,0,0,0
146,11/29/13 4:00,15,755.3,762,48,Wind blowing from the east,3,NA,,,No Significant Clouds,10.0 and more,4,0,0,0,0,0,0
147,11/29/13 5:00,15,755.3,762,45,Wind blowing from the east-southeast,2,NA,,,No Significant Clouds,10.0 and more,3,0,0,0,0,0,0
148,11/29/13 6:00,14,755.3,762,48,Wind blowing from the east-northeast,4,NA,,,No Significant Clouds,10.0 and more,3,0,0,0,0,0,0
149,11/29/13 7:00,15,756.1,762.8,45,Wind blowing from the east,3,NA,,,No Significant Clouds,10.0 and more,3,0,0,0,0,0,0
150,11/29/13 8:00,16,756.2,762.8,42,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,3,0,0,0,0,0,0
151,11/29/13 9:00,18,756.9,763.5,32,Wind blowing from the east-northeast,4,NA,,,No Significant Clouds,10.0 and more,1,0,0,0,0,0,0
152,11/29/13 10:00,22,757,763.5,25,Wind blowing from the north-east,3,NA,,,No Significant Clouds,10.0 and more,1,0,0,0,0,0,0
153,11/29/13 11:00,24,757,763.5,22,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,1,0,0,0,0,0,0
154,11/29/13 12:00,26,756.4,762.8,17,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
155,11/29/13 13:00,26,755.6,762,17,Wind blowing from the west,3,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
156,11/29/13 14:00,27,754.8,761.2,16,variable wind direction,1,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
157,11/29/13 15:00,27,754.8,761.2,16,Wind blowing from the west,6,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
158,11/29/13 16:00,26,755.6,762,17,Wind blowing from the west,7,NA,,,No Significant Clouds,10.0 and more,-1,0,0,0,0,0,0
159,11/29/13 17:00,24,755.5,762,21,Wind blowing from the west,6,NA,,,No Significant Clouds,10.0 and more,0,0,0,0,0,0,0
160,11/29/13 18:00,21,755.5,762,29,Wind blowing from the west,4,NA,,,No Significant Clouds,10.0 and more,2,0,0,0,0,0,0
161,11/29/13 19:00,21,756.3,762.8,29,Wind blowing from the west-southwest,3,NA,,,Few clouds (10-30%) 600 m,10.0 and more,2,600,0,0,0,0,0
162,11/29/13 22:00,17,756.9,763.5,64,Wind blowing from the south,4,NA,,,,10.0 and more,10,0,0,0,0,0,0
163,11/29/13 23:00,16,756.9,763.5,63,Wind blowing from the south,1,NA,,,,10.0 and more,9,0,0,0,0,0,0
164,11/30/13 0:00,15,756.8,763.5,68,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,9,0,0,0,0,0,0
165,11/30/13 6:00,13,755.3,762,55,Wind blowing from the east-northeast,1,NA,,,Few clouds (10-30%) 600 m,10.0 and more,4,600,0,0,0,0,0
166,11/30/13 7:00,11,755.3,762,62,Wind blowing from the east-northeast,1,NA,,,Few clouds (10-30%) 600 m,10.0 and more,4,600,0,0,0,0,0
167,11/30/13 8:00,12,755.3,762,58,Wind blowing from the east-northeast,2,NA,,,,,4,0,0,0,0,0,0
168,11/30/13 9:00,17,756.2,762.8,42,"Calm, no wind",0,NA,,,,10.0 and more,4,0,0,0,0,0,0
169,11/30/13 10:00,21,756.3,762.8,29,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,2,0,0,0,0,0,0
170,11/30/13 11:00,23,756.3,762.8,23,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,1,0,0,0,0,0,0
171,11/30/13 12:00,24,755.5,762,22,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,1,0,0,0,0,0,0
172,11/30/13 13:00,25,754.8,761.2,21,"Calm, no wind",0,NA,,,,10.0 and more,1,0,0,0,0,0,0
173,11/30/13 14:00,24,754.1,760.5,25,Wind blowing from the west,7,NA,,,No Significant Clouds,10.0 and more,3,0,0,0,0,0,0
174,11/30/13 15:00,22,754,760.5,41,Wind blowing from the west,6,NA,,,No Significant Clouds,10.0 and more,8,0,0,0,0,0,0
175,11/30/13 16:00,22,753.2,759.7,41,Wind blowing from the west,6,NA,,,No Significant Clouds,10.0 and more,8,0,0,0,0,0,0
176,11/30/13 17:00,21,753.2,759.7,40,Wind blowing from the west,5,NA,,,No Significant Clouds,10.0 and more,7,0,0,0,0,0,0
177,11/30/13 18:00,19,753.2,759.7,60,Wind blowing from the west-southwest,4,NA,,,No Significant Clouds,10.0 and more,11,0,0,0,0,0,0
178,11/30/13 19:00,17,753.1,759.7,77,Wind blowing from the south-southwest,3,NA,,,No Significant Clouds,10.0 and more,13,0,0,0,0,0,0
179,11/30/13 20:00,16,753.1,759.7,83,Wind blowing from the south-southwest,3,NA,,,No Significant Clouds,10.0 and more,13,0,0,0,0,0,0
180,11/30/13 21:00,16,753.9,760.5,77,variable wind direction,1,NA,,,No Significant Clouds,10.0 and more,12,0,0,0,0,0,0
181,11/30/13 22:00,15,753.9,760.5,88,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,13,0,0,0,0,0,0
182,11/30/13 23:00,12,753,759.7,94,"Calm, no wind",0,NA,,,No Significant Clouds,10.0 and more,11,0,0,0,0,0,0
