Local time in Sidi Ifni,T,Po,P,Pa,U,DD,Ff,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
11/29/13 6:00,22.2,756.1,761.2,,39,Wind blowing from the south-southeast,7,no clouds, ,,,22,,,,,,,8,7.4,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",16,,
11/29/13 9:00,23.3,757.8,762.9,1.7,34,Wind blowing from the south-southeast,5,20-30%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,6.6,,,,,,
11/29/13 12:00,21.5,758.4,763.5,0.6,69,Wind blowing from the north-northeast,5,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",12,15.6,,,,,,
11/29/13 15:00,21.7,757.8,762.9,-0.6,55,Wind blowing from the north-northeast,4,20-30%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,12.1,,,,,,
11/29/13 18:00,19,758.4,763.6,0.6,77,Wind blowing from the east-northeast,2,70 - 80%, ,,,,24.7,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,14.9,,,,,,
11/30/13 6:00,17.2,757.8,763,,60,"Calm, no wind",0,70 - 80%, ,,,17.1,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6,9.3,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",12,,
11/30/13 9:00,16.8,758.1,763.3,0.3,69,"Calm, no wind",0,70 - 80%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",7,11,,,,,,
11/30/13 12:00,19.1,758.2,763.4,0.1,74,Wind blowing from the west-southwest,3,70 - 80%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,14.4,,,,,,
11/30/13 15:00,19.5,756.9,762,-1.3,68,Wind blowing from the west-northwest,2,70 - 80%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,13.5,,,,,,
11/30/13 18:00,18.2,756.3,761.5,-0.6,74,Wind blowing from the west,1,50%, ,,,,19.7,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,13.4,,,,,,
12/1/13 6:00,16.2,754.2,759.4,,92,Wind blowing from the south-southeast,1,70 - 80%, ,,,14.6,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,14.9,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",9,,
12/1/13 9:00,16,754.4,759.6,0.2,92,Wind blowing from the south-southwest,2,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,14.7,,,,,,
12/1/13 12:00,18.1,754.2,759.3,-0.2,75,Wind blowing from the north-west,3,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,13.5,,,,,,
12/1/13 15:00,18.2,753.4,758.5,-0.8,74,Wind blowing from the west-northwest,3,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,13.4,,,,,,
12/1/13 18:00,16.7,752.9,758.1,-0.5,79,Wind blowing from the north-northeast,3,60%, ,,,,18.9,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,13.1,,,,,,
12/2/13 6:00,15.7,753.5,758.7,,88,"Calm, no wind",0,20-30%, ,,,15.5,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,13.7,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",9,,
12/2/13 9:00,16,754.8,760,1.3,86,Wind blowing from the north-east,1,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,13.7,,,,,,
12/2/13 12:00,18,755.1,760.3,0.3,68,Wind blowing from the north-northwest,3,50%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8,12,,,,,,
12/2/13 15:00,18.2,755.4,760.6,0.3,70,Wind blowing from the north-northeast,2,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8,12.6,,,,,,
12/2/13 18:00,17.5,755.9,761.1,0.5,70,Wind blowing from the north-east,2,70 - 80%, ,,,,18.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 - 80%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8,12,,,,,,
12/3/13 6:00,19.9,755.9,761,,36,Wind blowing from the south-east,8,60%, ,,,15.8,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6,4.4,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",12,,
12/3/13 9:00,19.6,757.6,762.7,1.7,38,Wind blowing from the south-east,8,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,8,5,,,,,,
12/3/13 12:00,20.6,758.2,763.3,0.6,42,Wind blowing from the south-east,7,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,10,7.3,,,,,,
12/3/13 15:00,20.5,756.3,761.4,-1.9,46,Wind blowing from the east-southeast,8,100%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",100%,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,10,8.5,,,,,,
12/3/13 18:00,18.7,756.9,762.1,0.6,56,Wind blowing from the south-east,6,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,21.2,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,10,9.8,1,12,,,,
12/4/13 6:00,21,757.5,762.6,,38,Wind blowing from the south-east,7,40%, ,,,18.6,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6,6.1,1,24,"Dry (without cracks, no appreciable amount of dust or loose sand)",14,,
12/4/13 9:00,20.8,758.5,763.6,1,44,Wind blowing from the south-east,6,40%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,7.9,,,,,,
12/4/13 12:00,23.5,759.3,764.4,0.8,38,Wind blowing from the south-southeast,5,40%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,8.5,,,,,,
12/4/13 15:00,25.1,758.7,763.8,-0.6,34,Wind blowing from the east-southeast,4,50%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,8.1,,,,,,
12/4/13 18:00,23.7,758.8,763.9,0.1,34,Wind blowing from the east-southeast,3,60%, ,,,,25.3,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,6.9,,,,,,
12/5/13 6:00,21.7,758.8,763.9,,46,Wind blowing from the north,2,no clouds, ,,,20.4,,,,,,,8,9.4,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",15,,
12/5/13 9:00,23.5,759.1,764.2,0.3,38,Wind blowing from the north-east,1,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,8.5,,,,,,
12/5/13 12:00,27.2,759.5,764.5,0.4,29,Wind blowing from the south-southeast,4,no clouds, ,,,,,,,,,,12,7.6,,,,,,
12/5/13 15:00,25.3,758.9,764,-0.6,39,Wind blowing from the north-northeast,2,20-30%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",12,10.2,,,,,,
12/5/13 18:00,23.6,758.6,763.7,-0.3,36,Wind blowing from the east-northeast,1,50%, ,,,,27.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,7.6,,,,,,
12/6/13 6:00,22.2,758,763.1,,30,Wind blowing from the east-southeast,11,20-30%, ,,,22.1,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6,3.9,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",16,,
12/6/13 9:00,21.6,758.5,763.6,0.5,31,Wind blowing from the south-east,8,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,3.5,,,,,,
12/6/13 12:00,22.5,758.6,763.7,0.1,28,Wind blowing from the south-east,8,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,2.8,,,,,,
12/6/13 15:00,20.7,757.7,762.8,-0.9,32,Wind blowing from the south-east,10,"90  or more, but not 100%",Clouds generally dissolving or becoming less developed. ,Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.","10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,3.5,,,,,,
12/6/13 18:00,20,758.4,763.5,0.7,36,Wind blowing from the south-east,7,"90  or more, but not 100%",Thunderstorm (with or without precipitation). ,Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,22.8,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",50%,600-1000,Altocumulus castellanus or floccus.,,10,4.5,,,,,,
12/7/13 6:00,19.6,759.3,764.5,,32,Wind blowing from the east-southeast,8,70 - 80%, ,,,14.6,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 - 80%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6,2.6,0.3,24,"Dry (without cracks, no appreciable amount of dust or loose sand)",11,,
12/7/13 9:00,20.5,761.1,766.3,1.8,40,Wind blowing from the south,2,60%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,6.4,,,,,,
12/7/13 12:00,23.5,761.8,766.9,0.7,29,Wind blowing from the south,4,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",15,4.2,,,,,,
12/7/13 15:00,22.2,760.6,765.7,-1.2,32,Wind blowing from the north-east,5,20-30%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",15,4.5,,,,,,
12/7/13 18:00,20,760.9,766.1,0.3,40,Wind blowing from the north-east,4,20-30%, ,,,,24,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",12,5.9,,,,,,
12/8/13 6:00,18.3,761.7,766.9,,44,Wind blowing from the south-east,4,no clouds, ,,,17.5,,,,,,,7,5.8,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",11,,
12/8/13 9:00,20,762.1,767.3,0.4,35,Wind blowing from the south,2,20-30%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",12,4.1,,,,,,
12/8/13 12:00,21.3,762.7,767.8,0.6,34,Wind blowing from the north-northeast,2,no clouds, ,,,,,,,,,,15,4.7,,,,,,
12/8/13 15:00,20.6,761.1,766.3,-1.6,56,Wind blowing from the north-east,3,no clouds, ,,,,,,,,,,15,11.6,,,,,,
12/8/13 18:00,18.6,761.2,766.4,0.1,57,Wind blowing from the north-east,3,"10%  or less, but not 0", ,,,,21.5,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,9.9,,,,,,
