Time,P0,P,U,DD,Ff,VV,Td,T,Few clouds,Scattered clouds,Broken clouds,Overcast,cumulonimbus clouds,cumulus congestus of great vertical extent
2013-11-24 12:00:00,751.7,758.2,78,14,10,11,289.15,293.15,0,0,480,0,0,0
2013-11-24 13:00:00,751.2,757.7,69,14,8,11,289.15,295.15,0,0,480,0,0,0
2013-11-24 14:00:00,750.4,756.9,69,14,9,11,288.15,294.15,0,0,480,0,0,0
2013-11-24 15:00:00,750.4,756.9,69,14,10,11,289.15,295.15,0,0,480,0,0,0
2013-11-24 16:00:00,750.4,756.9,69,16,8,11,288.15,294.15,0,0,480,0,0,0
2013-11-24 17:00:00,750.4,756.9,73,14,9,11,288.15,293.15,0,480,0,0,0,0
2013-11-24 18:00:00,750.4,756.9,83,16,7,11,288.15,291.15,0,480,0,0,0,0
2013-11-24 19:00:00,750.4,756.9,83,14,6,11,288.15,291.15,0,480,0,0,0,0
2013-11-24 20:00:00,750.3,756.9,88,16,6,11,288.15,290.15,0,480,0,0,0,0
2013-11-24 21:00:00,750.3,756.9,88,13,3,11,288.15,290.15,0,480,0,0,0,0
2013-11-24 22:00:00,750.3,756.9,88,9,4,11,288.15,290.15,0,480,0,0,0,0
2013-11-24 23:00:00,751.1,757.7,88,0,0,11,288.15,290.15,0,480,0,0,0,0
2013-11-25 00:00:00,751.1,757.7,88,0,0,11,288.15,290.15,0,240,480,0,0,0
2013-11-25 01:00:00,751.1,757.7,88,0,0,11,288.15,290.15,0,240,480,0,0,0
2013-11-25 02:00:00,750.3,756.9,88,0,0,11,288.15,290.15,0,0,0,0,0,0
2013-11-25 03:00:00,750.3,756.9,88,0,0,11,288.15,290.15,0,0,0,0,0,0
2013-11-25 04:00:00,750.3,756.9,88,0,0,11,288.15,290.15,0,240,480,0,0,0
2013-11-25 05:00:00,750.3,756.9,88,0,0,11,288.15,290.15,0,240,480,0,0,0
2013-11-25 06:00:00,750.3,756.9,83,0,0,1,287.15,290.15,0,0,480,0,0,0
2013-11-25 07:00:00,751.1,757.7,88,0,0,11,287.15,289.15,0,0,480,0,0,0
2013-11-25 08:00:00,751.1,757.7,88,0,0,11,287.15,289.15,0,0,480,0,0,0
2013-11-25 09:00:00,751.6,758.2,88,0,0,11,288.15,290.15,0,0,480,0,0,0
2013-11-25 10:00:00,751.6,758.2,83,0,0,11,288.15,291.15,0,0,480,0,0,0
2013-11-25 11:00:00,751.7,758.2,73,0,0,11,287.15,292.15,0,0,480,0,0,0
2013-11-25 12:00:00,751.2,757.7,64,13,2,11,287.15,294.15,0,0,480,0,0,0
2013-11-25 13:00:00,750.4,756.9,57,13,2,11,286.15,295.15,0,0,480,0,0,0
2013-11-25 14:00:00,749.8,756.2,57,14,3,11,286.15,295.15,0,480,0,0,0,0
2013-11-25 15:00:00,749.7,756.2,60,16,5,11,286.15,294.15,0,0,480,0,0,0
2013-11-25 16:00:00,750.4,756.9,57,16,4,11,285.15,294.15,0,0,0,0,0,0
2013-11-25 17:00:00,750.4,756.9,60,13,3,11,285.15,293.15,0,0,0,0,0,0
2013-11-25 18:00:00,750.4,756.9,68,17,1,11,285.15,291.15,480,0,0,0,0,0
2013-11-25 20:00:00,751.1,757.7,72,0,0,11,284.15,289.15,600,0,0,0,0,0
2013-11-25 21:00:00,751.6,758.2,77,0,0,11,283.15,287.15,0,0,0,0,0,0
2013-11-25 22:00:00,752.3,759,82,2,1,11,284.15,287.15,0,0,0,0,0,0
2013-11-25 23:00:00,752.3,759,82,0,0,11,283.15,286.15,480,0,0,0,0,0
2013-11-26 00:00:00,752.3,759,88,1,1,11,284.15,286.15,480,0,0,0,0,0
2013-11-26 01:00:00,752.3,759,82,6,3,11,283.15,286.15,480,0,0,0,0,0
2013-11-26 04:00:00,753,759.7,88,0,0,11,282.15,284.15,0,0,0,0,0,0
2013-11-26 05:00:00,753,759.7,88,0,0,11,282.15,284.15,0,0,0,0,0,0
2013-11-26 06:00:00,752.9,759.7,88,0,0,11,281.15,283.15,480,0,0,0,0,0
2013-11-26 07:00:00,753.7,760.5,88,0,0,11,281.15,283.15,480,0,0,0,0,0
2013-11-26 08:00:00,753.7,760.5,94,0,0,11,282.15,283.15,480,0,0,0,0,0
2013-11-26 09:00:00,754.5,761.2,88,0,0,11,285.15,287.15,480,0,0,0,0,0
2013-11-26 10:00:00,755.4,762,60,0,0,11,283.15,291.15,0,0,0,0,0,0
2013-11-26 11:00:00,754.7,761.2,40,5,2,11,279.15,293.15,600,0,0,0,0,0
2013-11-26 12:00:00,754.7,761.2,29,0,0,11,277.15,296.15,0,0,0,0,0,0
2013-11-26 13:00:00,754.1,760.5,27,0,0,11,277.15,297.15,0,0,0,0,0,0
2013-11-26 14:00:00,753.2,759.7,41,14,6,11,282.15,296.15,0,0,0,0,0,0
2013-11-26 15:00:00,753.2,759.7,44,14,7,11,282.15,295.15,0,0,0,0,0,0
2013-11-26 16:00:00,753.2,759.7,46,14,7,11,282.15,294.15,480,6000,0,0,0,0
2013-11-26 17:00:00,753.2,759.7,60,14,7,11,284.15,292.15,480,6000,0,0,0,0
2013-11-26 18:00:00,753.1,759.7,68,13,4,11,284.15,290.15,480,0,0,0,0,0
2013-11-26 19:00:00,753.9,760.5,68,13,3,11,284.15,290.15,480,0,0,0,0,0
2013-11-26 20:00:00,753.9,760.5,64,12,3,11,283.15,290.15,0,0,0,0,0,0
2013-11-26 21:00:00,754.6,761.2,68,9,4,11,283.15,289.15,0,0,0,0,0,0
2013-11-26 22:00:00,754.6,761.2,72,9,3,11,283.15,288.15,0,0,0,0,0,0
2013-11-26 23:00:00,754.5,761.2,77,9,2,11,283.15,287.15,0,0,0,0,0,0
2013-11-27 00:00:00,754.5,761.2,82,0,0,11,282.15,285.15,0,0,0,0,0,0
2013-11-27 01:00:00,754.5,761.2,77,0,0,11,281.15,285.15,0,0,0,0,0,0
2013-11-27 02:00:00,754.5,761.2,82,0,0,11,281.15,284.15,0,0,0,0,0,0
2013-11-27 03:00:00,754.4,761.2,82,0,0,11,280.15,283.15,0,0,0,0,0,0
2013-11-27 04:00:00,754.4,761.2,82,0,0,11,280.15,283.15,0,0,0,0,0,0
2013-11-27 05:00:00,754.4,761.2,82,2,4,11,280.15,283.15,0,0,0,0,0,0
2013-11-27 06:00:00,754.4,761.2,82,2,4,11,279.15,282.15,0,0,0,0,0,0
2013-11-27 07:00:00,755.2,762,82,2,3,11,279.15,282.15,0,0,0,0,0,0
2013-11-27 08:00:00,755.2,762,82,2,4,11,279.15,282.15,600,0,0,0,0,0
2013-11-27 09:00:00,756.1,762.8,63,2,5,11,279.15,286.15,600,0,0,0,0,0
2013-11-27 10:00:00,756.2,762.8,32,2,5,11,274.15,291.15,0,600,0,0,0,0
2013-11-27 11:00:00,756.3,762.8,23,2,6,11,271.15,293.15,0,0,600,0,0,0
2013-11-27 12:00:00,755.5,762,20,5,5,11,270.15,294.15,480,0,6000,0,0,0
2013-11-27 13:00:00,754.7,761.2,16,0,0,11,268.15,295.15,480,0,6000,0,0,0
2013-11-27 14:00:00,754.7,761.2,15,13,2,11,268.15,296.15,480,0,6000,0,0,0
2013-11-27 15:00:00,754,760.5,14,12,2,11,267.15,296.15,0,0,0,0,0,0
2013-11-27 16:00:00,754,760.5,14,0,0,11,267.15,296.15,0,0,0,0,0,0
2013-11-27 17:00:00,754,760.5,16,0,0,11,268.15,295.15,480,0,6000,0,0,0
2013-11-27 18:00:00,753.9,760.5,21,0,0,11,269.15,292.15,480,0,0,0,0,0
2013-11-27 19:00:00,754.6,761.2,34,0,0,11,273.15,289.15,480,0,0,0,0,0
2013-11-27 20:00:00,754.5,761.2,33,0,0,11,271.15,287.15,480,0,0,0,0,0
2013-11-27 21:00:00,755.3,762,31,10,3,11,270.15,287.15,480,0,0,0,0,0
2013-11-27 22:00:00,755.3,762,35,3,2,11,270.15,285.15,0,0,0,0,0,0
2013-11-27 23:00:00,755.2,762,43,5,2,11,271.15,283.15,0,0,0,0,0,0
2013-11-28 00:00:00,756,762.8,41,2,3,11,271.15,284.15,0,0,0,0,0,0
2013-11-28 01:00:00,755.3,762,41,1,3,11,271.15,284.15,0,0,0,0,0,0
2013-11-28 02:00:00,755.3,762,41,1,4,11,271.15,284.15,0,0,0,0,0,0
2013-11-28 03:00:00,755.3,762,41,1,4,11,271.15,284.15,0,0,0,0,0,0
2013-11-28 04:00:00,755.2,762,47,2,4,11,272.15,283.15,0,0,0,0,0,0
2013-11-28 05:00:00,755.2,762,50,2,4,11,272.15,282.15,0,0,0,0,0,0
2013-11-28 07:00:00,756,762.8,53,2,4,11,272.15,281.15,0,0,0,0,0,0
2013-11-28 08:00:00,756.7,763.5,47,2,4,11,272.15,283.15,0,0,0,0,0,0
2013-11-28 09:00:00,756.8,763.5,36,2,5,11,272.15,287.15,0,0,0,0,0,0
2013-11-28 10:00:00,756.9,763.5,28,2,6,11,272.15,291.15,0,0,0,0,0,0
2013-11-28 11:00:00,757,763.5,17,2,6,11,269.15,295.15,0,0,0,0,0,0
2013-11-28 11:10:00,757,763.5,17,2,6,11,269.15,295.15,0,0,0,0,0,0
2013-11-28 12:00:00,756.3,762.8,16,2,5,11,270.15,297.15,0,0,0,0,0,0
2013-11-28 13:00:00,755.6,762,15,2,3,11,270.15,298.15,0,0,0,0,0,0
2013-11-28 14:00:00,754.8,761.2,16,0,0,11,271.15,299.15,0,0,0,0,0,0
2013-11-28 15:00:00,754.1,760.5,17,0,0,11,272.15,299.15,0,0,0,0,0,0
2013-11-28 16:00:00,754.1,760.5,18,0,0,11,272.15,298.15,0,0,0,0,0,0
2013-11-28 17:00:00,754.1,760.5,19,0,0,11,273.15,298.15,0,0,0,0,0,0
2013-11-28 18:00:00,754,760.5,25,0,0,11,274.15,295.15,0,0,0,0,0,0
2013-11-28 19:00:00,754.7,761.2,27,0,0,11,274.15,294.15,0,0,0,0,0,0
2013-11-28 20:00:00,754.7,761.2,28,0,0,11,274.15,293.15,0,0,0,0,0,0
2013-11-28 21:00:00,754.6,761.2,30,0,0,11,274.15,292.15,0,0,0,0,0,0
2013-11-28 22:00:00,755.4,762,30,0,0,11,274.15,292.15,0,0,0,0,0,0
2013-11-28 23:00:00,755.3,762,39,0,0,11,274.15,288.15,0,0,0,0,0,0
2013-11-29 00:00:00,755.4,762,39,2,3,11,276.15,290.15,0,0,0,0,0,0
2013-11-29 01:00:00,754.6,761.2,34,2,4,11,274.15,290.15,0,0,0,0,0,0
2013-11-29 02:00:00,754.6,761.2,39,2,4,11,275.15,289.15,0,0,0,0,0,0
2013-11-29 03:00:00,754.6,761.2,37,3,3,11,275.15,290.15,0,0,0,0,0,0
2013-11-29 04:00:00,755.3,762,48,1,3,11,277.15,288.15,0,0,0,0,0,0
2013-11-29 05:00:00,755.3,762,45,3,2,11,276.15,288.15,0,0,0,0,0,0
2013-11-29 06:00:00,755.3,762,48,2,4,11,276.15,287.15,0,0,0,0,0,0
2013-11-29 07:00:00,756.1,762.8,45,1,3,11,276.15,288.15,0,0,0,0,0,0
2013-11-29 08:00:00,756.2,762.8,42,0,0,11,276.15,289.15,0,0,0,0,0,0
2013-11-29 09:00:00,756.9,763.5,32,2,4,11,274.15,291.15,0,0,0,0,0,0
2013-11-29 10:00:00,757,763.5,25,5,3,11,274.15,295.15,0,0,0,0,0,0
2013-11-29 11:00:00,757,763.5,22,0,0,11,274.15,297.15,0,0,0,0,0,0
2013-11-29 12:00:00,756.4,762.8,17,0,0,11,272.15,299.15,0,0,0,0,0,0
2013-11-29 13:00:00,755.6,762,17,14,3,11,272.15,299.15,0,0,0,0,0,0
2013-11-29 14:00:00,754.8,761.2,16,17,1,11,272.15,300.15,0,0,0,0,0,0
2013-11-29 15:00:00,754.8,761.2,16,14,6,11,272.15,300.15,0,0,0,0,0,0
2013-11-29 16:00:00,755.6,762,17,14,7,11,272.15,299.15,0,0,0,0,0,0
2013-11-29 17:00:00,755.5,762,21,14,6,11,273.15,297.15,0,0,0,0,0,0
2013-11-29 18:00:00,755.5,762,29,14,4,11,275.15,294.15,0,0,0,0,0,0
2013-11-29 19:00:00,756.3,762.8,29,16,3,11,275.15,294.15,600,0,0,0,0,0
2013-11-29 22:00:00,756.9,763.5,64,9,4,11,283.15,290.15,0,0,0,0,0,0
2013-11-29 23:00:00,756.9,763.5,63,9,1,11,282.15,289.15,0,0,0,0,0,0
2013-11-30 00:00:00,756.8,763.5,68,0,0,11,282.15,288.15,0,0,0,0,0,0
2013-11-30 06:00:00,755.3,762,55,2,1,11,277.15,286.15,600,0,0,0,0,0
2013-11-30 07:00:00,755.3,762,62,2,1,11,277.15,284.15,600,0,0,0,0,0
2013-11-30 08:00:00,755.3,762,58,2,2,,277.15,285.15,0,0,0,0,0,0
2013-11-30 09:00:00,756.2,762.8,42,0,0,11,277.15,290.15,0,0,0,0,0,0
2013-11-30 10:00:00,756.3,762.8,29,0,0,11,275.15,294.15,0,0,0,0,0,0
2013-11-30 11:00:00,756.3,762.8,23,0,0,11,274.15,296.15,0,0,0,0,0,0
2013-11-30 12:00:00,755.5,762,22,0,0,11,274.15,297.15,0,0,0,0,0,0
2013-11-30 13:00:00,754.8,761.2,21,0,0,11,274.15,298.15,0,0,0,0,0,0
2013-11-30 14:00:00,754.1,760.5,25,14,7,11,276.15,297.15,0,0,0,0,0,0
2013-11-30 15:00:00,754,760.5,41,14,6,11,281.15,295.15,0,0,0,0,0,0
2013-11-30 16:00:00,753.2,759.7,41,14,6,11,281.15,295.15,0,0,0,0,0,0
2013-11-30 17:00:00,753.2,759.7,40,14,5,11,280.15,294.15,0,0,0,0,0,0
2013-11-30 18:00:00,753.2,759.7,60,16,4,11,284.15,292.15,0,0,0,0,0,0
2013-11-30 19:00:00,753.1,759.7,77,12,3,11,286.15,290.15,0,0,0,0,0,0
2013-11-30 20:00:00,753.1,759.7,83,12,3,11,286.15,289.15,0,0,0,0,0,0
2013-11-30 21:00:00,753.9,760.5,77,17,1,11,285.15,289.15,0,0,0,0,0,0
2013-11-30 22:00:00,753.9,760.5,88,0,0,11,286.15,288.15,0,0,0,0,0,0
2013-11-30 23:00:00,753,759.7,94,0,0,11,284.15,285.15,0,0,0,0,0,0
2013-12-01 00:00:00,752.3,759,88,1,2,8,285.15,287.15,0,90,0,0,0,0
2013-12-01 01:00:00,752.4,759,88,0,0,11,286.15,288.15,0,0,90,0,0,0
2013-12-01 02:00:00,752.4,759,88,0,0,11,286.15,288.15,0,90,0,0,0,0
2013-12-01 03:00:00,751.6,758.2,88,10,2,11,286.15,288.15,0,90,0,0,0,0
2013-12-01 04:00:00,751.5,758.2,88,0,0,11,284.15,286.15,0,90,0,0,0,0
2013-12-01 05:00:00,751.5,758.2,88,0,0,11,284.15,286.15,0,90,0,0,0,0
2013-12-01 06:00:00,751,757.7,88,0,0,11,284.15,286.15,0,180,0,0,0,0
2013-12-01 07:00:00,751,757.7,88,0,0,11,283.15,285.15,0,480,0,0,0,0
2013-12-01 08:00:00,751.5,758.2,88,0,0,11,284.15,286.15,0,0,480,0,0,0
2013-12-01 09:00:00,751.6,758.2,82,0,0,11,284.15,287.15,0,180,480,0,0,0
2013-12-01 10:00:00,751.6,758.2,77,0,0,11,285.15,289.15,0,180,480,0,0,0
2013-12-01 11:00:00,751.6,758.2,68,0,0,11,285.15,291.15,0,480,0,0,0,0
2013-12-01 12:00:00,751.2,757.7,60,0,0,11,284.15,292.15,0,480,0,0,0,0
2013-12-01 13:00:00,750.4,756.9,53,15,4,11,283.15,293.15,0,0,0,0,0,0
2013-12-01 14:00:00,748.9,755.4,56,14,6,11,284.15,293.15,0,0,0,0,0,0
2013-12-01 15:00:00,748.9,755.4,52,13,6,11,282.15,292.15,0,0,0,0,0,0
2013-12-01 16:00:00,748.1,754.6,56,13,4,11,283.15,292.15,0,0,0,0,0,0
2013-12-01 18:00:00,748,754.6,68,9,5,11,283.15,289.15,0,6000,0,0,0,0
2013-12-01 19:00:00,748.8,755.4,77,9,5,11,284.15,288.15,0,6000,0,0,0,0
2013-12-01 20:00:00,749.6,756.2,72,11,3,11,283.15,288.15,0,0,480,0,0,0
2013-12-01 21:00:00,750.3,756.9,72,9,3,11,283.15,288.15,0,0,510,0,0,0
2013-12-01 22:00:00,751.1,757.7,72,10,3,11,283.15,288.15,480,3000,0,0,0,0
2013-12-01 23:00:00,751.6,758.2,72,11,2,11,283.15,288.15,480,3000,0,0,0,0
2013-12-02 00:00:00,751.1,757.7,72,0,0,11,282.15,287.15,480,3000,0,0,0,0
2013-12-02 01:00:00,751.6,758.2,72,0,0,11,282.15,287.15,480,3000,0,0,0,0
2013-12-02 02:00:00,751.5,758.2,77,3,2,11,282.15,286.15,0,0,0,0,0,0
2013-12-02 03:00:00,751.5,758.2,77,3,3,11,282.15,286.15,0,0,0,0,0,0
2013-12-02 04:00:00,751.5,758.2,77,3,2,11,282.15,286.15,0,0,0,0,0,0
2013-12-02 05:00:00,751.5,758.2,82,0,0,11,280.15,283.15,0,0,0,0,0,0
2013-12-02 06:00:00,752.2,759,87,2,2,11,279.15,281.15,0,0,0,0,0,0
2013-12-02 07:00:00,752.2,759,87,2,3,11,280.15,282.15,0,0,0,0,0,0
2013-12-02 08:00:00,752.9,759.7,87,2,3,11,280.15,282.15,0,0,0,0,0,0
2013-12-02 09:00:00,753,759.7,77,2,3,11,281.15,285.15,0,0,0,0,0,0
2013-12-02 10:00:00,753.9,760.5,68,1,2,11,283.15,289.15,0,0,0,0,0,0
2013-12-02 11:00:00,753.9,760.5,60,0,0,11,283.15,291.15,0,0,0,0,0,0
2013-12-02 12:00:00,753.1,759.7,52,0,0,11,281.15,291.15,0,0,0,0,0,0
2013-12-02 13:00:00,753.2,759.7,46,17,1,11,281.15,293.15,0,0,0,0,0,0
2013-12-02 14:00:00,752.5,759,38,14,2,11,280.15,295.15,0,0,0,0,0,0
2013-12-02 15:00:00,752.5,759,43,14,5,11,281.15,294.15,0,0,0,0,0,0
2013-12-02 16:00:00,753.1,759.7,56,14,7,11,282.15,291.15,0,0,0,0,0,0
2013-12-02 17:00:00,753.1,759.7,56,14,5,11,282.15,291.15,0,0,0,0,0,0
2013-12-02 19:00:00,753.9,760.5,77,0,0,11,284.15,288.15,0,0,0,0,0,0
2013-12-02 20:00:00,753.8,760.5,82,0,0,11,283.15,286.15,0,0,0,0,0,0
2013-12-02 21:00:00,754.5,761.2,82,2,2,11,284.15,287.15,0,0,0,0,0,0
2013-12-02 22:00:00,754.5,761.2,82,0,0,11,282.15,285.15,0,0,0,0,0,0
2013-12-02 23:00:00,755.2,762,88,0,0,11,281.15,283.15,0,0,0,0,0,0
2013-12-03 00:00:00,755.2,762,82,2,3,11,280.15,283.15,0,0,0,0,0,0
2013-12-03 01:00:00,755.2,762,87,2,3,11,280.15,282.15,0,0,0,0,0,0
2013-12-03 02:00:00,754.5,761.2,77,5,4,11,280.15,284.15,0,0,0,0,0,0
2013-12-03 03:00:00,754.4,761.2,76,2,4,11,279.15,283.15,0,0,0,0,0,0
2013-12-03 04:00:00,754.4,761.2,71,2,4,11,278.15,283.15,0,0,0,0,0,0
2013-12-03 05:00:00,754.4,761.2,71,2,5,11,277.15,282.15,0,0,0,0,0,0
2013-12-03 06:00:00,754.4,761.2,62,2,4,11,275.15,282.15,0,0,0,0,0,0
2013-12-03 07:00:00,755.2,762,58,2,5,11,274.15,282.15,0,0,0,0,0,0
2013-12-03 08:00:00,756,762.8,50,2,5,11,273.15,283.15,0,0,0,0,0,0
2013-12-03 09:00:00,756.1,762.8,34,2,6,11,272.15,288.15,0,0,0,0,0,0
2013-12-03 10:00:00,756.9,763.5,26,2,7,11,271.15,291.15,0,0,0,0,0,0
2013-12-03 11:00:00,756.9,763.5,21,2,7,11,270.15,293.15,0,0,0,0,0,0
2013-12-03 12:00:00,756.3,762.8,20,2,7,11,270.15,294.15,0,0,0,0,0,0
2013-12-03 13:00:00,756.3,762.8,20,2,4,11,271.15,295.15,0,0,0,0,0,0
2013-12-03 14:00:00,755.5,762,20,6,4,11,271.15,295.15,0,3000,0,0,0,0
2013-12-03 15:00:00,755.5,762,25,12,2,11,273.15,294.15,0,3000,0,0,0,0
2013-12-03 16:00:00,756.3,762.8,33,11,1,11,276.15,293.15,0,3000,0,0,0,0
2013-12-03 17:00:00,756.2,762.8,46,3,3,11,279.15,291.15,0,0,0,0,0,0
2013-12-03 18:00:00,756.9,763.5,52,2,3,11,280.15,290.15,0,600,3000,0,0,0
2013-12-03 19:00:00,756.8,763.5,82,2,4,11,284.15,287.15,0,0,0,0,0,0
2013-12-03 20:00:00,757.6,764.3,82,2,3,11,284.15,287.15,0,600,3000,0,0,0
2013-12-03 21:00:00,757.6,764.3,77,1,6,,283.15,287.15,0,0,0,0,0,0
2013-12-03 22:00:00,757.6,764.3,72,2,5,11,283.15,288.15,0,0,0,0,0,0
2013-12-03 23:00:00,757.6,764.3,72,2,4,11,283.15,288.15,0,0,0,0,0,0
2013-12-04 01:00:00,756.8,763.5,77,5,5,11,284.15,288.15,0,3000,0,0,0,0
2013-12-04 02:00:00,756.8,763.5,77,5,5,11,283.15,287.15,0,3000,0,0,0,0
2013-12-04 03:00:00,756.8,763.5,68,2,6,11,282.15,288.15,0,3000,0,0,0,0
2013-12-04 04:00:00,756.8,763.5,68,5,5,11,282.15,288.15,0,0,0,0,0,0
2013-12-04 05:00:00,756.8,763.5,68,2,6,11,282.15,288.15,0,0,0,0,0,0
2013-12-04 06:00:00,757.6,764.3,68,2,4,11,282.15,288.15,0,600,3000,0,0,0
2013-12-04 07:00:00,757.6,764.3,63,5,5,11,281.15,288.15,0,600,3000,0,0,0
2013-12-04 08:00:00,758.3,765,63,5,4,11,281.15,288.15,0,0,0,0,0,0
2013-12-04 09:00:00,758.3,765,63,5,6,11,282.15,289.15,0,3000,0,0,0,0
2013-12-04 10:00:00,759.2,765.8,60,2,5,11,283.15,291.15,0,3000,0,0,0,0
2013-12-04 11:00:00,759.2,765.8,49,2,7,11,282.15,293.15,0,600,0,0,0,0
2013-12-04 12:00:00,758.5,765,43,5,7,11,281.15,294.15,0,600,0,0,0,0
2013-12-04 13:00:00,757.8,764.3,41,2,7,11,281.15,295.15,0,600,0,0,0,0
2013-12-04 14:00:00,757,763.5,41,5,5,11,282.15,296.15,600,600,0,0,0,0
2013-12-04 15:00:00,757,763.5,36,2,5,11,281.15,297.15,0,3000,0,0,0,0
2013-12-04 16:00:00,757.1,763.5,34,5,3,11,281.15,298.15,600,3000,0,0,0,0
2013-12-04 17:00:00,757,763.5,34,2,3,11,280.15,297.15,600,0,0,0,0,0
2013-12-04 18:00:00,757,763.5,44,0,0,11,282.15,295.15,0,600,0,0,0,0
2013-12-04 19:00:00,756.9,763.5,52,0,0,11,282.15,292.15,0,600,0,0,0,0
2013-12-04 20:00:00,757.6,764.3,68,0,0,11,283.15,289.15,600,0,0,0,0,0
2013-12-04 21:00:00,757.6,764.3,68,1,3,11,283.15,289.15,600,0,0,0,0,0
2013-12-04 22:00:00,757.6,764.3,72,1,4,11,283.15,288.15,600,0,0,0,0,0
2013-12-04 23:00:00,757.6,764.3,68,1,4,11,283.15,289.15,600,0,0,0,0,0
2013-12-05 00:00:00,757.6,764.3,68,3,3,11,282.15,288.15,600,0,0,0,0,0
2013-12-05 03:00:00,757.6,764.3,72,1,4,11,282.15,287.15,600,0,0,0,0,0
2013-12-05 04:00:00,757.6,764.3,72,1,4,,281.15,286.15,0,0,0,0,0,0
2013-12-05 05:00:00,757.6,764.3,77,2,3,,281.15,285.15,0,0,0,0,0,0
2013-12-05 06:00:00,757.6,764.3,77,1,3,,281.15,285.15,0,0,0,0,0,0
2013-12-05 07:00:00,757.5,764.3,82,1,3,11,281.15,284.15,600,0,0,0,0,0
2013-12-05 08:00:00,758.3,765,72,2,4,11,282.15,287.15,0,0,0,0,0,0
2013-12-05 09:00:00,758.4,765,59,2,5,11,282.15,290.15,0,0,0,0,0,0
2013-12-05 10:00:00,759.2,765.8,46,2,6,11,281.15,293.15,0,0,0,0,0,0
2013-12-05 11:00:00,758.5,765,38,2,5,11,281.15,296.15,0,0,0,0,0,0
2013-12-05 12:00:00,,,,2,4,11,,,0,0,0,0,0,0
